libxv 1.0.11-2
libxvmc 1.0.10-2
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzen 0.4.37-2
libzip 1.5.1-1
licenses 20181104-1
linux 4.20.4.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20190118.a8b75ca-1
linux-headers 4.20.4.arch1-1
livestreamer 1.12.2-2
llvm-libs 7.0.1-2
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
love 11.2-1
lua 5.3.5-2
lua51 5.1.5-8
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.183-2
lxmenu-data 0.1.5-2
lynx 2.8.9-2
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-1
man-pages 4.16-2
mdadm 4.0-2
menu-cache 1.1.0-1
mesa 18.3.2-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mono 5.16.0.220-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
mpv 1:0.29.1-5
mtdev 1.1.5-2
mupdf 1.14.0-1
namcap 3.2.8-3
nano 3.2-1
ncurses 6.1-6
ndctl 63-1
neon 0.30.2-3
net-tools 1.60.20180212git-1
netcdf 4.6.2-1
netctl 1.19-1
nettle 3.4.1-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
nghttp2 1.35.1-1
nikto 2.1.6-2
ninja 1.8.2-1
nitrogen 1.6.1-2
nmap 7.70-2
noto-fonts 20190111-1
npth 1.6-1
nspr 4.20-1
nss 3.41-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
ocl-icd 2.2.12-3
openal 1.19.1-1
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg 1.5.2-2
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
openvpn 2.4.6-1
optipng 0.7.7-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-1
otf-hermit 1.21-2
p11-kit 0.23.15-1
pacman 5.1.2-2
pacman-mirrorlist 20190109-1
pam 1.3.1-1
pambase 20171006-1
pango 1:1.42.4-1
pangomm 2.42.0-1
pangox-compat 0.0.2+2+gedb9e09-3
parted 3.2-8
patch 2.7.6-7
pciutils 3.6.2-1
pcmanfm 1.3.1-1
pcmciautils 018-7
pcre 8.42-2
pcre2 10.32-2
perl 5.28.1-1
perl-error 0.17027-1
perl-file-basedir 0.08-2
perl-ipc-system-simple 1.25-4
perl-json 2.97001-1
perl-mailtools 2.20-2
perl-net-ssleay 1.85-2
perl-timedate 2.30-5
perl-xml-parser 2.44-7
physfs 3.0.1-1
pinentry 1.1.0-4
pixman 0.36.0-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.0-1
pkgfile 19-1
podofo 0.9.6-2
polkit 0.115+24+g5230646-1
poppler-data 0.4.9-1
popt 1.16-10
portaudio 190600_20161030-2
portmidi 217-6
procps-ng 3.3.15-1
profont 1-5
proxychains-ng 4.13-1
psmisc 23.2-1
pulseaudio 12.2-2
pyalpm 0.8.5-2
pygmentize 2.3.1-1
pygobject-devel 3.30.4-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.11.3-2
python 3.7.2-3
python-anytree 2.4.3-2
python-appdirs 1.4.3-2
python-cachecontrol 0.12.5-4
python-chardet 3.0.4-2
python-colorama 0.4.1-1
python-cycler 0.10.0-3
python-dateutil 2.7.5-1
python-dbus-common 1.2.8-2
python-distlib 0.2.8-1
python-distro 1.3.0-2
python-et-xmlfile 1.0.1-3
python-gobject 3.30.4-1
python-html5lib 1.0.1-3
python-idna 2.8-1
python-jdcal 1.4-2
python-kiwisolver 1.0.1-2
python-lockfile 0.12.2-4
python-lxml 4.3.0-1
python-matplotlib 3.0.2-1
python-msgpack 0.6.0-1
python-numpy 1.16.0-1
python-openpyxl 2.5.14-1
python-packaging 19.0-1
python-pandas 0.24.0-1
python-pep517 0.5.0-1
python-pip 18.1-1
python-progress 1.4-2
python-pyelftools 0.25-1
python-pygments 2.3.1-1
python-pyparsing 2.3.1-1
python-pyqt5 5.11.3-2
python-pytoml 0.1.20-1
python-pytz 2018.9-1
python-regex 2019.01.23-1
python-requests 2.21.0-1
python-retrying 1.3.3-4
python-scapy 2.4.2-1
python-scikit-learn 0.20.2-1
python-scipy 1.2.0-2
python-setuptools 1:40.6.3-1
python-sip 4.19.13-1
python-sip-pyqt5 4.19.13-1
python-six 1.12.0-1
python-urllib3 1.24.1-1
python-webencodings 0.5.1-2
python-xdg 0.26-2
python2 2.7.15-4
python2-appdirs 1.4.3-2
python2-apsw 3.26.0-1
python2-asn1crypto 0.24.0-2
python2-attrs 18.2.0-1
python2-automat 0.7.0-2
python2-backports 1.0-2
python2-backports.functools_lru_cache 1.5-1
python2-backports.unittest_mock 1.2.1-2
python2-cachecontrol 0.12.5-4
python2-cairo 1.18.0-1
python2-cffi 1.11.5-2
python2-chardet 3.0.4-2
python2-cheroot 6.5.4-1
python2-cherrypy 17.4.1-1
python2-click 7.0-1
python2-colorama 0.4.1-1
python2-constantly 15.1.0-3
python2-contextlib2 0.5.5-2
python2-cryptography 2.4.2-1
python2-cssselect 1.0.3-2
python2-cssutils 1.0.2-2
python2-cycler 0.10.0-3
python2-dateutil 2.7.5-1
python2-dbus 1.2.8-2
python2-distlib 0.2.8-1
python2-distro 1.3.0-2
python2-dnspython 1.16.0-1
python2-dukpy 0.3-3
python2-enum34 1.1.6-2
python2-et-xmlfile 1.0.1-3
python2-funcsigs 1.0.2-2
python2-gobject 3.30.4-1
python2-gobject2 2.28.7-2
python2-html5-parser 0.4.5-3
python2-html5lib 1.0.1-3
python2-hyperlink 18.0.0-2
python2-idna 2.8-1
python2-incremental 17.5.0-2
python2-ipaddress 1.0.22-1
python2-jaraco 2018.09.08-1
python2-jdcal 1.4-2
python2-keybinder2 0.3.1-2
python2-kiwisolver 1.0.1-2
python2-lockfile 0.12.2-4
python2-lxml 4.3.0-1
python2-matplotlib 2.2.3-5
python2-mechanize 1:0.3.7-1
python2-mock 2.0.0-4
python2-more-itertools 4.3.0-1
python2-msgpack 0.6.0-1
python2-notify 0.1.1-14
python2-numpy 1.16.0-1
python2-olefile 0.46-1
python2-openpyxl 2.5.14-1
python2-packaging 19.0-1
python2-pandas 0.24.0-1
python2-pbr 5.1.1-1
python2-pep517 0.5.0-1
python2-pillow 5.4.1-1
python2-pip 18.1-1
python2-ply 3.11-2
python2-portend 2.3-2
python2-progress 1.4-2
python2-psutil 5.5.0-1
python2-pyasn1 0.4.5-1
python2-pycparser 2.19-1
python2-pycryptodome 3.7.3-1
python2-pygame 1.9.4-1
python2-pygments 2.3.1-1
python2-pyhamcrest 1.9.0-3
python2-pyopenssl 19.0.0-1
python2-pyparsing 2.3.1-1
python2-pyqt5 5.11.3-2
python2-pytoml 0.1.20-1
python2-pytz 2018.9-1
python2-regex 2019.01.23-1
python2-requests 2.21.0-1
python2-retrying 1.3.3-4
python2-scikit-learn 0.20.2-1
python2-scipy 1.2.0-2
python2-setuptools 1:40.6.3-1
python2-sip 4.19.13-1
python2-sip-pyqt5 4.19.13-1
python2-six 1.12.0-1
python2-subprocess32 3.5.3-1
python2-tempora 1.14-1
python2-twisted 18.9.0-1
python2-unrardll 0.1.3-4
python2-urllib3 1.24.1-1
python2-webencodings 0.5.1-2
python2-xdg 0.26-2
python2-zc.lockfile 1.4-2
python2-zope-interface 4.6.0-1
qt5-base 5.12.0-3
qt5-declarative 5.12.0-1
qt5-location 5.12.0-1
qt5-multimedia 5.12.0-1
qt5-sensors 5.12.0-1
qt5-svg 5.12.0-1
qt5-tools 5.12.0-2
qt5-webchannel 5.12.0-1
qt5-webkit 5.212.0alpha2-22
qt5-x11extras 5.12.0-1
qt5-xmlpatterns 5.12.0-1
radare2 3.2.1-2
ranger 1.9.2-1
re2 20190101-1
readline 8.0.0-1
recode 3.7.1-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.7-1
ripgrep 0.10.0-2
